word,annotation 
Username,o
Comment,o
Text,o
a134_purv,o
nakshatra_101,per
aj,o
kal,o
kuch,o
strong,o
hai,o
brohh,o
cdo_naveen14,o
nkx0,o
_,o
bro,o
nhi,o
tutegi,o
Because,o
Mix,o
plastic,o
bitumen,o
k,o
sath,o
mix,o
krdenge,o
toh,o
wo,o
bitumen,o
jaisi,o
property,o
deta,o
hai,o
Ductile,o
material,o
hai,o
cdo_naveen14,o
mayureshthakurr,per
ji,p
cement,o
nhi,o
hai,o
bhai,o
bitumen,o
Road,o
hai,o
nakshatra_101,per
But,o
is,o
it,o
completely,o
safe,o
like,o
is,o
it,o
strong,o
enough,o
ajay,o
chambial,o
But,o
jab,o
ya,o
road,o
damage,o
hoga,o
or,o
jo,o
micro,o
plastic,o
niklyga,o
road,o
se,o
usse,o
water,o
pollution,o
to,o
hoga,o
Bas,o
plastic,o
waste,o
ka,o
use,o
kar,o
rhe,o
ya,o
solution,o
to,o
nehi,o
hi,o
naman_131105,per
mobroska,p
not,o
at,o
all,o
naman_131105,per
nkx0,o
_,o
jo,o
first,num
road,o
bana,o
hai,o
jake,o
uska,o
condition,o
dekh,o
le,o
banglore,loc
mein,o
hai,o
normal,o
road,o
se,o
strong,o
hai,o
naman_131105,per
nkx0,o
_,p
bhai,o
kon,o
se,o
duniya,o
mein,o
rehte,o
ho,o
india,loc
mein,per
703km,num
long,o
plastic,o
waste,o
road,o
ban,o
chuka,o
hai,o
aab,o
location,o
khud,o
google,org
kr,o
le,o
nkx0,o
_,o
naman_131105,per
virat_pandey111,per
Lucknow,loc
me,o
bhardwajramujee,per
IND,per
samiksha282009,per
Bharat,loc
me,o
wo,o
b,o
up,o
lucknow,loc
mrcrazy_boy_786,o
य,o
प,o
क,o
लखनऊ,loc
क,o
स,o
ट,o
म,o
न,o
ट,o
सर,o
स,o
क,o
ल,o
व,
श,o
व,o
क,o
सबस,o
बड,o
स,o
क,o
ल,o
Biggest,o
School,o
ह,o
यह,o
स,o
क,o
ल,o
जगद,o
श,o
ग,o
ध,o
द,o
व,o
र,o
1959,num
म,o
स,o
र,o
फ,o
प,o
च,o
व,o
द,o
य,o
र,o
थ,o
य,o
क,o
स,o
थ,o
स,o
थ,o
प,o
त,o
क,o
य,o
गय,o
इस,o
स,o
क,o
ल,o
म,o
अब,o
58,num
000,num
छ,o
त,o
र,o
ह,o
nitika_mishra1854,per
India,loc
m,o
rajat_gupta_fitness,per
Up,loc
lucknow,loc
singhhanu13,per
India,loc
Lucknow,loc
CMS,o
school,o
akash70906,per
Bharat,per
ma,o
yatin__singh_2007,per
Bharat,loc
me,o
vk_c7257,o
Nalanda,loc
vishwavidyalay,per
tha,o
s_riya400,o
D,o
anubhav_ap_143,per
India,loc
Lucknow,loc
me,o
hai,o
anubhav_ap_143,per
Cms,o
Lucknow,per
tha__gosate__ff_46,o
Bharat,per
aurangzeb03dxb,per
Mere,o
gawo,o
me,o
aa,o
dekha,o
te,o
h,o
tum,o
sab,o
ko,o
vikram_yadav_vicky_,per
Apne,o
Bharat,loc
me,o
thakur_anubhav_rajpoot,per
Bharat,per
lko,o
me,o
narendra_singh845,per
Sapne,o
m,o
aaya,o
tha,o
kya,o
kharol9786,o
D,o
akshay_tamarakar,per
C,o
lalit,per
vishwakarma,per
360,num
Up,loc
shreejay61,per
Kahi,o
bhi,o
ho,o
muje,o
to,o
ab,o
jana,o
nahi,o
hai,o
Aur,o
na,o
hi,o
KBC,o
me,o
jana,o
hai,o
rohit,per
mauryvansi,per
लखनऊ,loc
up,loc
म,o
9,o
341usha,num
Bharat,per
men,o
ganeshsingh9590,per
Up,loc
lucknow,loc
bipinmauryab99,per
Bharat,loc
me,o
sahabudin68,per
C,o
er,o
prajapati_ashok_babu,per
D,o
ivijaymandloi,per
Bharat,per
Uttarpradesh,loc
bhunkal_voys,o
Bharat,per
me,o
bhunkal_voys,o
Jai,o
Bharat,o
bhavishyayadav__,per
CMS,o
in,o
Lucknow,per
INDIA,loc
mr_om_kharane_45,loc
India,loc
me,o
__i__am__rajpoot__,o
Bharat,loc
mr_thakur9464,o
England,loc
m,o
harshitnigam9517,per
भ,o
रत,o
cms,o
लखनऊ,o
shova,per
gurung,per
12764,num
Bharat,per
me,o
_ritik,o
raushan__,per
Up,loc
ke,o
Lucknow,loc
me,o
queen7861crush,o
India,loc
me,o
CMS,o
sharmainbox,per
A,o
drx,o
shiva,per
90,num
Lucknow,loc
sudhansh_k1,per
India,loc
CMS,o
_manupandat_,o
Bharat,per
ma,o
sohanbanjara1008,per
D,o
its_girjesh_rajput,o
CMS,o
in,o
Lucknow,per
time_spend_poet,o
Bharat,per
me,o
suraj__thebull,per
Pakistan,loc
mai,o
ashishgiri35,per
Bharat,loc
me,o
shantu_suthar,per
190,num
Bharat,per
Nathdwara,per
suraj5415kumar,per
Bharat,per
me,o
suraj5415kumar,per
Nalanda,loc
visaw,o
vidhalye,o
bharat,per
me,o
hai,o
Jo,o
state,o
Bihar,loc
me,o
hai,o
jarnathawrani,o
India,loc
abhi94019,per
Bharat,per
narpat867,per
D,o
shailesh_kanaujiya,per
Bharat,per
sanjanamalik642,per
India,loc
me,o
bda,o
lekin,o
degree,o
lene,o
ke,o
liye,o
nhi,o
hai,o
aradhana__tiwari,per
Isme,o
onions,o
and,o
tomatoes,o
dal,o
do,o
to,o
aur,o
tasty,o
lgega,o
khannakritika999,per
Traditional,o
chawal,o
ka,o
dosa,o
is,o
healthy,o
itself,o
rachanamalik1780,per
Wow,o
deepikakalra09,per
Which,o
tawa,o
cuisine_girl_reshu,o
Yum,o
thepepperdoober,o
supper,o
easy,o
sovona_2577,per
Dosa,o
onions,o
and,o
chize,o
dal,o
do,o
aur,o
tasty,o
lagega,o
globetrotter_girl90,o
Maine,o
ye,o
kal,o
hi,o
bnaya,o
tha,o
aur,o
aj,o
apka,o
video,o
aa,o
gya,o
gazab,o
connection,o
hai,o
ye,o
to,o
vandana_d_avhad,per
Yummi,o
renu_prashant,per
kabitaskitchen,per
aap,o
dosa,o
ke,o
liye,o
konsa,o
tawa,o
use,o
karte,o
ho,o
lapetitchef,o
You,o
don,o
t,o
need,o
soda,o
for,o
dosa,o
dashanddazzle,o
in,o
This,o
looks,o
so,o
yummy,o
mannu19arora,per
Yummy,o
smiley_soni,o
Which,o
pan,o
you,o
used,o
because,o
everytime,o
my,o
dosa,o
break,o
into,o
parts,o
Please,o
do,o
reply,o
lalitaohdar,per
Healthy,o
recipe,o
urmila_veg_world,per
Yummy,o
syeda____aman,o
Kya,o
dal,o
ku,o
raat,o
bhar,o
bhigo,o
k,o
morning,o
main,o
grind,o
kark,o
dosa,o
dal,o
sakte,o
hai,o
ya,o
dal,o
ku,o
morning,o
bhigo,o
k,o
rat,o
ku,o
grind,o
kark,o
morning,o
dosa,o
dal,o
sakte,o
hai,o
musicaldebjani,o
So,o
far,o
this,o
is,o
the,o
best,o
recipe,o
much,o
thanks,o
wondering_where,o
Pesarattu,o
moong,o
daal,o
or,o
Adai,o
a,o
common,o
breakfast,o
option,o
in,o
the,o
south,o
Healthy,o
n,o
tasty,o
anshika_n_me,o
This,o
is,o
chilla,o
north,o
India,loc
or,o
pesarattu,o
south,o
India,loc
mamta_apatel,per
How,o
long,o
we,o
can,o
keep,o
this,o
batter,o
in,o
fridge,o
skumari327,per
Bhut,o
tasty,o
hai,o
Maine,o
bnaya,o
but,o
toot,oo
jata,o
hai,o
aapka,o
aise,o
perfect,o
kaise,o
mummysapron,o
mamta_apatel,o
aap,o
fridge,o
me,o
1week,o
aaram,o
se,o
rakh,o
sakti,o
hai,o
mummysapron,o
lalitaohdar,per
mere,o
kitchen,o
me,o
bhi,o
healthy,o
recipes,o
hai,o
plz,o
visit,o
comment,o
karke,o
batae,o
kaisi,o
lagi,o
mummysapron,o
muasonayadav6290,per
yes,o
aap,o
isko,o
diet,o
me,o
bhi,o
le,o
sakte,o
aur,o
diet,o
recipes,o
ke,o
liye,o
visit,o
kare,o
mete,o
youtube,org
kitchen,o
me,o
mummysapron,o
skumari327,per
1,num
se,o
2,num
baar,o
practice,o
स,o
aapko,o
bhi,o
aa,o
jayega,o
yummywale,o
Nice,o
priyapanwar9656,per
Harnaaz,per
manan,per
world,o
tanyac_b,per
Can,o
I,o
make,o
it,o
without,o
coriander,o
leaves,o
mamta_apatel,o
mummysapron,o
thank,o
you,o
abhabhatt26,per
Super,o
khadija,o
shah,per
Is,o
there,o
any,o
way,o
to,o
make,o
it,o
very,o
crispy,o
with,o
very,o
little,o
oil,o
in,o
it,o
nehashri20,per
Thanks,o
Kavita,per
ji,o
it,o
turns,o
out,o
so,o
well,o
Too,o
perfect,o
kabitaskitchen,per
nehashri20,per
glad,o
you,o
liked,o
it,o
surbhi_dua,per
Hi,o
kabitaskitchen,per
if,o
possible,o
can,o
you,o
please,o
suggest,o
a,o
good,o
mixer,o
blender,o
nehashri20,per
kabitaskitchen,per
my,o
1,o
9,num
years,o
munchkin,o
ate,o
it,o
thoroughly,o
and,o
thanks,o
for,o
replying,o
You,o
voice,o
is,o
so,o
soothing,o
Keep,o
growing,o
jabeen5370,per
Healthy,o
shantibhakat,per
Hi,o
pls,o
share,o
chutney,o
recipe,o
hcanchi,o
adai,o
very,o
common,o
in,o
south,o
india,loc
tasty,o
n,o
healthy,o
too,o
angelic_anu_ss,o
Aj,o
mai,o
ye,o
dhosa,o
bnai,o
really,o
bht,o
hi,o
teasty,o
bna,o
Tq,o
so,o
much,o
ma,o
am,o
for,o
healthy,o
recipes,o
muasonayadav6290,per
Diet,o
me,o
b,o
le,o
skte,o
h,o
